id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,last_fico_range_high,last_fico_range_low,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_fico_range_low,sec_app_fico_range_high,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,debt_settlement_flag
95192865,20000,20000,20000.0,36,0.2474,792.45,E,E3,Operations Manager,10+ years,MORTGAGE,76000.0,Not Verified,2016-12-01,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=95192865,home_improvement,Home improvement,900xx,CA,3.17,0,2009-02-01,665,669,2,33,-1,8,0,5746,0.371,17,w,0.0,0.0,26610.348,26610.35,20000.0,6570.73,39.62,0.0,0.0,2018-08-01,13166.19,,2019-08-01,664,660,0,-1,1,Individual,5692.51,-1.0,,0,0,386707,2,0,1,4,9,0,-1,1,3,2159,37,15500,2,0,4,9,55244,9754,37.1,0,0,23,94,5,4,5,5,-1,4,33,0,5,5,7,7,4,7,8,5,8,0,0,0,3,88.2,16.7,0,0,397062,5746,15500,0,-1,539,543,,-1,-1,-1,-1.0,-1,-1,-1,-1,N,,,,-1,-1.0,,,,-1,-1,,-1.0,-1.0,-1.0,N
110539760,8300,8300,8300.0,36,0.094399996,265.65,B,B1,HVAC technician,3 years,RENT,54000.0,Source Verified,2017-06-01,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=110539760,debt_consolidation,Debt consolidation,212xx,MD,16.91,0,2011-09-01,680,684,0,-1,58,5,1,5900,0.307,7,w,0.0,0.0,9527.901,9527.9,8300.0,1227.9,0.0,0.0,0.0,2020-01-01,1562.75,,2020-05-01,684,680,0,-1,1,Individual,5692.51,-1.0,,0,0,26958,1,2,1,2,4,21058,86,1,1,3075,62,19200,0,1,0,3,5392,13300,30.7,0,0,30,69,10,4,0,10,-1,-1,-1,0,3,3,3,4,3,3,4,3,5,0,0,0,2,100.0,0.0,1,0,43646,26958,19200,24446,-1,539,543,,-1,-1,-1,-1.0,-1,-1,-1,-1,N,,,,-1,-1.0,,,,-1,-1,,-1.0,-1.0,-1.0,N
93930856,28000,28000,28000.0,60,0.1274,633.37,C,C1,Dean ,4 years,OWN,225000.0,Source Verified,2016-11-01,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=93930856,home_improvement,Home improvement,478xx,IN,10.27,0,1997-08-01,710,714,0,27,-1,14,0,32369,0.715,25,w,10009.28,10009.28,26767.27,26767.27,17990.72,8776.55,0.0,0.0,0.0,2020-05-01,633.37,2020-06-01,2020-05-01,739,735,0,54,1,Individual,5692.51,-1.0,,0,0,397563,2,1,1,1,3,40809,-1,1,2,11063,72,45300,2,2,3,3,28397,7009,80.8,0,0,231,231,4,3,4,4,-1,3,27,1,7,11,7,7,7,12,14,11,14,0,0,0,2,92.0,42.9,0,0,427106,73178,36500,41906,-1,539,543,,-1,-1,-1,-1.0,-1,-1,-1,-1,N,,,,-1,-1.0,,,,-1,-1,,-1.0,-1.0,-1.0,N
14447893,19500,19500,19500.0,60,0.1416,455.36,C,C2,oil field service,6 years,MORTGAGE,59000.0,Not Verified,2014-04-01,Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=14447893,debt_consolidation,Debt consolidation,749xx,OK,22.43,0,2007-08-01,675,679,0,-1,-1,13,0,14641,0.62,20,f,0.0,0.0,7212.5,7212.5,2125.71,1972.53,0.0,3114.26,560.5668,2015-01-01,455.36,,2016-10-01,539,535,0,-1,1,Individual,5692.51,-1.0,,0,140,123010,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23600,-1,-1,-1,4,9462,3820,77.9,0,0,80,69,16,16,1,29,-1,22,-1,0,6,8,6,7,7,10,12,8,13,0,0,0,0,100.0,66.7,0,0,150245,44964,17300,43185,-1,539,543,,-1,-1,-1,-1.0,-1,-1,-1,-1,N,,,,-1,-1.0,,,,-1,-1,,-1.0,-1.0,-1.0,N
135471544,35000,35000,35000.0,36,0.0531,1053.86,A,A1,Owner/CEO,10+ years,MORTGAGE,300000.0,Verified,2018-06-01,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=135471544,debt_consolidation,Debt consolidation,808xx,CO,23.83,0,1999-12-01,755,759,0,42,-1,26,0,12880,0.303,43,w,13287.94,13287.94,24218.13,24218.13,21712.06,2506.07,0.0,0.0,0.0,2020-05-01,1053.86,2020-06-01,2020-05-01,714,710,0,-1,1,Individual,5692.51,-1.0,,0,0,688967,1,14,0,1,13,298854,84,1,2,4282,75,42500,1,8,2,3,26499,25750,24.0,0,0,167,222,2,2,4,2,-1,11,58,0,4,5,8,9,22,11,17,5,26,0,0,0,1,92.9,0.0,0,0,852403,311734,33900,408528,-1,539,543,,-1,-1,-1,-1.0,-1,-1,-1,-1,N,,,,-1,-1.0,,,,-1,-1,,-1.0,-1.0,-1.0,N
148559483,6000,6000,6000.0,36,0.08189999,188.55,A,A4,Trade Manager – Ocean Services,< 1 year,RENT,85000.0,Source Verified,2019-03-01,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=148559483,debt_consolidation,Debt consolidation,301xx,GA,12.31,0,1996-02-01,715,719,0,-1,-1,8,0,7066,0.16600001,13,w,3839.37,3839.37,2636.97,2636.97,2160.63,476.34,0.0,0.0,0.0,2020-05-01,188.55,2020-06-01,2020-05-01,769,765,0,-1,1,Individual,5692.51,-1.0,,0,0,26936,1,2,2,3,8,19870,76,1,2,2212,45,79200,2,2,2,5,3367,57314,4.7,0,0,36,277,1,1,0,31,-1,8,-1,0,2,3,4,5,5,6,8,3,8,0,0,0,3,100.0,0.0,0,0,105228,26936,60000,26028,-1,539,543,,-1,-1,-1,-1.0,-1,-1,-1,-1,N,,,,-1,-1.0,,,,-1,-1,,-1.0,-1.0,-1.0,N
83810887,20000,20000,20000.0,36,0.1149,659.43,B,B5,Underwriting support,5 years,MORTGAGE,93000.0,Source Verified,2016-06-01,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=83810887,debt_consolidation,Debt consolidation,234xx,VA,21.55,0,2001-10-01,660,664,1,31,116,13,1,15161,0.45299998,35,w,0.0,0.0,23694.422,23694.42,20000.0,3694.42,0.0,0.0,0.0,2019-07-01,665.44,,2020-05-01,669,665,0,31,1,Individual,5692.51,-1.0,,0,1880,304907,1,5,1,3,9,87821,81,2,3,4979,68,33500,0,2,1,6,23454,18277,35.9,0,0,176,107,3,3,2,3,42,3,42,2,5,6,6,9,20,7,12,6,13,0,0,0,3,80.0,50.0,1,0,345536,102982,28500,91403,-1,539,543,,-1,-1,-1,-1.0,-1,-1,-1,-1,N,,,,-1,-1.0,,,,-1,-1,,-1.0,-1.0,-1.0,N
91386674,11500,11500,11500.0,36,0.072399996,356.35,A,A3,Event & Catering Coordinator,2 years,RENT,55000.0,Not Verified,2016-10-01,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=91386674,debt_consolidation,Debt consolidation,941xx,CA,14.42,0,2004-08-01,725,729,0,-1,-1,10,0,9059,0.311,19,w,0.0,0.0,11982.3545,11982.35,11500.0,482.35,0.0,0.0,0.0,2017-05-01,9848.88,,2020-05-01,809,805,0,-1,1,Individual,5692.51,-1.0,,0,0,16730,0,3,0,1,20,7671,41,0,1,5149,35,29100,0,0,0,2,1859,13541,40.1,0,0,122,146,19,19,0,19,-1,-1,-1,0,3,3,5,10,7,7,12,3,10,0,0,0,0,100.0,25.0,0,0,47726,16730,22600,18626,-1,539,543,,-1,-1,-1,-1.0,-1,-1,-1,-1,N,,,,-1,-1.0,,,,-1,-1,,-1.0,-1.0,-1.0,N
141359921,20000,20000,20000.0,36,0.0846,630.99,A,A5,RESPIRATORY THERAPY,10+ years,OWN,80000.0,Not Verified,2018-10-01,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=141359921,credit_card,Credit card refinancing,334xx,FL,13.29,0,2002-08-01,710,714,0,-1,-1,12,0,83235,0.45700002,26,w,0.0,0.0,20565.488,20565.49,20000.0,565.49,0.0,0.0,0.0,2019-04-01,4434.04,,2020-01-01,689,685,0,-1,1,Individual,5692.51,-1.0,,0,0,83235,0,0,0,0,33,0,-1,0,2,19529,46,128500,0,0,0,2,8324,43826,47.0,0,0,48,194,18,18,0,18,-1,-1,-1,0,4,5,8,15,3,12,21,5,12,0,0,0,0,100.0,28.6,0,0,128500,83235,76500,0,-1,539,543,,-1,-1,-1,-1.0,-1,-1,-1,-1,N,,,,-1,-1.0,,,,-1,-1,,-1.0,-1.0,-1.0,N
122371764,10000,10000,10000.0,60,0.119899996,222.4,B,B5,Laborer,9 years,MORTGAGE,41000.0,Not Verified,2017-11-01,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=122371764,credit_card,Credit card refinancing,448xx,OH,16.98,0,2004-11-01,705,709,1,49,-1,9,0,8189,0.465,27,w,0.0,0.0,11968.405,11968.41,10000.0,1968.41,0.0,0.0,0.0,2019-09-01,7288.01,,2020-04-01,694,690,0,49,1,Individual,5692.51,-1.0,,0,0,97703,0,1,0,0,28,11496,69,1,2,4343,57,17600,1,4,6,3,10856,7811,51.2,0,0,144,156,10,10,2,10,-1,2,-1,1,3,3,6,10,10,7,15,3,9,0,0,0,2,88.9,33.3,0,0,113304,19685,16000,16715,-1,539,543,,-1,-1,-1,-1.0,-1,-1,-1,-1,N,,,,-1,-1.0,,,,-1,-1,,-1.0,-1.0,-1.0,N
